Date,Site ID,POC,Daily Max 1-hour NO2 Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,SITE_LATITUDE,SITE_LONGITUDE
01/01/2020,60370002,2,21.2,20,Azusa,24,100,34.1365,-117.92391
01/02/2020,60370002,2,28.2,26,Azusa,24,100,34.1365,-117.92391
01/03/2020,60370002,2,27.3,25,Azusa,24,100,34.1365,-117.92391
01/04/2020,60370002,2,43.9,41,Azusa,24,100,34.1365,-117.92391
01/05/2020,60370002,2,33.6,31,Azusa,24,100,34.1365,-117.92391
01/06/2020,60370002,2,21.4,20,Azusa,24,100,34.1365,-117.92391
01/07/2020,60370002,2,39.1,37,Azusa,24,100,34.1365,-117.92391
01/08/2020,60370002,2,31.8,29,Azusa,24,100,34.1365,-117.92391
01/09/2020,60370002,2,22.2,21,Azusa,24,100,34.1365,-117.92391
01/10/2020,60370002,2,28.7,26,Azusa,24,100,34.1365,-117.92391
01/11/2020,60370002,2,25.6,24,Azusa,24,100,34.1365,-117.92391
01/12/2020,60370002,2,22.1,21,Azusa,24,100,34.1365,-117.92391
01/13/2020,60370002,2,26,25,Azusa,24,100,34.1365,-117.92391
01/14/2020,60370002,2,38.6,36,Azusa,24,100,34.1365,-117.92391
01/15/2020,60370002,2,44.9,42,Azusa,24,100,34.1365,-117.92391
01/16/2020,60370002,2,35.5,33,Azusa,24,100,34.1365,-117.92391
01/17/2020,60370002,2,13.8,12,Azusa,24,100,34.1365,-117.92391
01/18/2020,60370002,2,16.2,15,Azusa,24,100,34.1365,-117.92391
01/19/2020,60370002,2,29.8,27,Azusa,24,100,34.1365,-117.92391
01/20/2020,60370002,2,37.6,35,Azusa,24,100,34.1365,-117.92391
01/21/2020,60370002,2,30.4,28,Azusa,24,100,34.1365,-117.92391
01/22/2020,60370002,2,23.4,22,Azusa,24,100,34.1365,-117.92391
01/23/2020,60370002,2,28.6,26,Azusa,24,100,34.1365,-117.92391
01/24/2020,60370002,2,59.4,56,Azusa,24,100,34.1365,-117.92391
01/25/2020,60370002,2,43.3,41,Azusa,24,100,34.1365,-117.92391
01/26/2020,60370002,2,21.9,20,Azusa,24,100,34.1365,-117.92391
01/27/2020,60370002,2,41.7,39,Azusa,24,100,34.1365,-117.92391
01/28/2020,60370002,2,34.3,32,Azusa,24,100,34.1365,-117.92391
01/29/2020,60370002,2,32.1,30,Azusa,24,100,34.1365,-117.92391
01/30/2020,60370002,2,29.5,27,Azusa,24,100,34.1365,-117.92391
01/31/2020,60370002,2,22.8,21,Azusa,24,100,34.1365,-117.92391
02/01/2020,60370002,2,13.4,12,Azusa,24,100,34.1365,-117.92391
02/02/2020,60370002,2,12.9,11,Azusa,24,100,34.1365,-117.92391
02/03/2020,60370002,2,6,6,Azusa,24,100,34.1365,-117.92391
02/04/2020,60370002,2,39.8,37,Azusa,24,100,34.1365,-117.92391
02/05/2020,60370002,2,30.8,28,Azusa,24,100,34.1365,-117.92391
02/06/2020,60370002,2,33.8,31,Azusa,24,100,34.1365,-117.92391
02/07/2020,60370002,2,39.8,37,Azusa,24,100,34.1365,-117.92391
02/08/2020,60370002,2,43.8,41,Azusa,24,100,34.1365,-117.92391
02/09/2020,60370002,2,12.1,11,Azusa,24,100,34.1365,-117.92391
02/10/2020,60370002,2,30.5,28,Azusa,24,100,34.1365,-117.92391
02/11/2020,60370002,2,35.2,33,Azusa,24,100,34.1365,-117.92391
02/12/2020,60370002,2,22,21,Azusa,24,100,34.1365,-117.92391
02/13/2020,60370002,2,38.9,36,Azusa,24,100,34.1365,-117.92391
02/14/2020,60370002,2,40.5,38,Azusa,24,100,34.1365,-117.92391
02/15/2020,60370002,2,28.6,26,Azusa,24,100,34.1365,-117.92391
02/16/2020,60370002,2,24.6,23,Azusa,24,100,34.1365,-117.92391
02/17/2020,60370002,2,39.8,37,Azusa,24,100,34.1365,-117.92391
02/18/2020,60370002,2,36.1,34,Azusa,24,100,34.1365,-117.92391
02/19/2020,60370002,2,36.8,34,Azusa,24,100,34.1365,-117.92391
02/20/2020,60370002,2,33.7,31,Azusa,23,96,34.1365,-117.92391
02/22/2020,60370002,2,8.4,8,Azusa,24,100,34.1365,-117.92391
02/23/2020,60370002,2,13.1,12,Azusa,24,100,34.1365,-117.92391
02/24/2020,60370002,2,27.3,25,Azusa,24,100,34.1365,-117.92391
02/25/2020,60370002,2,31.6,29,Azusa,19,79,34.1365,-117.92391
02/26/2020,60370002,2,18.6,17,Azusa,24,100,34.1365,-117.92391
02/27/2020,60370002,2,21.3,20,Azusa,24,100,34.1365,-117.92391
02/28/2020,60370002,2,22.4,21,Azusa,24,100,34.1365,-117.92391
02/29/2020,60370002,2,24.9,23,Azusa,24,100,34.1365,-117.92391
03/01/2020,60370002,2,6,6,Azusa,24,100,34.1365,-117.92391
03/02/2020,60370002,2,28.3,26,Azusa,24,100,34.1365,-117.92391
03/03/2020,60370002,2,37,35,Azusa,24,100,34.1365,-117.92391
03/04/2020,60370002,2,35.3,33,Azusa,24,100,34.1365,-117.92391
03/05/2020,60370002,2,34.5,32,Azusa,24,100,34.1365,-117.92391
03/06/2020,60370002,2,33.6,31,Azusa,24,100,34.1365,-117.92391
03/07/2020,60370002,2,9.6,8,Azusa,24,100,34.1365,-117.92391
03/08/2020,60370002,2,9.3,8,Azusa,24,100,34.1365,-117.92391
