Date,Site ID,POC,Daily Mean PM10 Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,SITE_LATITUDE,SITE_LONGITUDE
01/04/2020,60370002,2,25,23,Azusa,1,100,34.1365,-117.92391
01/10/2020,60370002,2,20,19,Azusa,1,100,34.1365,-117.92391
01/16/2020,60370002,2,32,30,Azusa,1,100,34.1365,-117.92391
01/22/2020,60370002,2,21,19,Azusa,1,100,34.1365,-117.92391
01/28/2020,60370002,2,23,21,Azusa,1,100,34.1365,-117.92391
02/03/2020,60370002,2,25,23,Azusa,1,100,34.1365,-117.92391
02/09/2020,60370002,2,18,17,Azusa,1,100,34.1365,-117.92391
02/15/2020,60370002,2,32,30,Azusa,1,100,34.1365,-117.92391
02/21/2020,60370002,2,27,25,Azusa,1,100,34.1365,-117.92391
02/27/2020,60370002,2,19,18,Azusa,1,100,34.1365,-117.92391
03/04/2020,60370002,2,35,32,Azusa,1,100,34.1365,-117.92391
03/10/2020,60370002,2,5,5,Azusa,1,100,34.1365,-117.92391
03/18/2020,60370002,2,11,10,Azusa,1,100,34.1365,-117.92391
03/22/2020,60370002,2,7,6,Azusa,1,100,34.1365,-117.92391
07/02/2020,60370002,2,29,27,Azusa,1,100,34.1365,-117.92391
07/08/2020,60370002,2,50,46,Azusa,1,100,34.1365,-117.92391
07/14/2020,60370002,2,40,37,Azusa,1,100,34.1365,-117.92391
07/20/2020,60370002,2,66,56,Azusa,1,100,34.1365,-117.92391
07/26/2020,60370002,2,25,23,Azusa,1,100,34.1365,-117.92391
08/01/2020,60370002,2,43,40,Azusa,1,100,34.1365,-117.92391
08/07/2020,60370002,2,34,31,Azusa,1,100,34.1365,-117.92391
08/13/2020,60370002,2,52,48,Azusa,1,100,34.1365,-117.92391
08/19/2020,60370002,2,70,58,Azusa,1,100,34.1365,-117.92391
08/25/2020,60370002,2,47,44,Azusa,1,100,34.1365,-117.92391
08/31/2020,60370002,2,34,31,Azusa,1,100,34.1365,-117.92391
09/06/2020,60370002,2,43,40,Azusa,1,100,34.1365,-117.92391
09/12/2020,60370002,2,152,99,Azusa,1,100,34.1365,-117.92391
09/18/2020,60370002,2,95,71,Azusa,1,100,34.1365,-117.92391
09/24/2020,60370002,2,76,61,Azusa,1,100,34.1365,-117.92391
09/30/2020,60370002,2,64,55,Azusa,1,100,34.1365,-117.92391
10/06/2020,60370002,2,90,68,Azusa,1,100,34.1365,-117.92391
10/12/2020,60370002,2,43,40,Azusa,1,100,34.1365,-117.92391
10/18/2020,60370002,2,41,38,Azusa,1,100,34.1365,-117.92391
10/24/2020,60370002,2,26,24,Azusa,1,100,34.1365,-117.92391
10/30/2020,60370002,2,78,62,Azusa,1,100,34.1365,-117.92391
11/05/2020,60370002,2,36,33,Azusa,1,100,34.1365,-117.92391
11/11/2020,60370002,2,30,28,Azusa,1,100,34.1365,-117.92391
11/17/2020,60370002,2,45,42,Azusa,1,100,34.1365,-117.92391
11/23/2020,60370002,2,46,43,Azusa,1,100,34.1365,-117.92391
