Date,Site ID,POC,Daily Mean PM2.5 Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,SITE_LATITUDE,SITE_LONGITUDE
01/03/2019,60370002,1,3,13,Azusa,1,100,34.1365,-117.92391
01/09/2019,60370002,1,9.5,40,Azusa,1,100,34.1365,-117.92391
01/15/2019,60370002,1,1.4,6,Azusa,1,100,34.1365,-117.92391
01/21/2019,60370002,1,2.6,11,Azusa,1,100,34.1365,-117.92391
01/27/2019,60370002,1,3,13,Azusa,1,100,34.1365,-117.92391
02/02/2019,60370002,1,3.3,14,Azusa,1,100,34.1365,-117.92391
02/08/2019,60370002,1,4.5,19,Azusa,1,100,34.1365,-117.92391
02/14/2019,60370002,1,2.6,11,Azusa,1,100,34.1365,-117.92391
02/20/2019,60370002,1,4.7,20,Azusa,1,100,34.1365,-117.92391
02/26/2019,60370002,1,14.1,55,Azusa,1,100,34.1365,-117.92391
03/04/2019,60370002,1,4,17,Azusa,1,100,34.1365,-117.92391
03/10/2019,60370002,1,3.4,14,Azusa,1,100,34.1365,-117.92391
03/16/2019,60370002,1,4.3,18,Azusa,1,100,34.1365,-117.92391
03/22/2019,60370002,1,5.1,21,Azusa,1,100,34.1365,-117.92391
03/28/2019,60370002,1,4.3,18,Azusa,1,100,34.1365,-117.92391
04/03/2019,60370002,1,5.1,21,Azusa,1,100,34.1365,-117.92391
04/09/2019,60370002,1,10,42,Azusa,1,100,34.1365,-117.92391
04/15/2019,60370002,1,11.4,48,Azusa,1,100,34.1365,-117.92391
04/21/2019,60370002,1,6.6,28,Azusa,1,100,34.1365,-117.92391
04/27/2019,60370002,1,20.4,68,Azusa,1,100,34.1365,-117.92391
05/03/2019,60370002,1,16.2,60,Azusa,1,100,34.1365,-117.92391
05/09/2019,60370002,1,6.9,29,Azusa,1,100,34.1365,-117.92391
05/15/2019,60370002,1,13.1,53,Azusa,1,100,34.1365,-117.92391
05/21/2019,60370002,1,6.4,27,Azusa,1,100,34.1365,-117.92391
05/27/2019,60370002,1,5.1,21,Azusa,1,100,34.1365,-117.92391
06/02/2019,60370002,1,7.7,32,Azusa,1,100,34.1365,-117.92391
06/08/2019,60370002,1,9.5,40,Azusa,1,100,34.1365,-117.92391
06/14/2019,60370002,1,12,50,Azusa,1,100,34.1365,-117.92391
06/20/2019,60370002,1,7.7,32,Azusa,1,100,34.1365,-117.92391
06/26/2019,60370002,1,7.9,33,Azusa,1,100,34.1365,-117.92391
07/02/2019,60370002,1,14.8,57,Azusa,1,100,34.1365,-117.92391
07/08/2019,60370002,1,11.5,48,Azusa,1,100,34.1365,-117.92391
07/14/2019,60370002,1,16.9,61,Azusa,1,100,34.1365,-117.92391
07/20/2019,60370002,1,9,38,Azusa,1,100,34.1365,-117.92391
07/26/2019,60370002,1,15.8,59,Azusa,1,100,34.1365,-117.92391
08/01/2019,60370002,1,13.6,54,Azusa,1,100,34.1365,-117.92391
08/07/2019,60370002,1,14.1,55,Azusa,1,100,34.1365,-117.92391
08/13/2019,60370002,1,13.9,55,Azusa,1,100,34.1365,-117.92391
08/19/2019,60370002,1,10.8,45,Azusa,1,100,34.1365,-117.92391
08/25/2019,60370002,1,9.6,40,Azusa,1,100,34.1365,-117.92391
08/31/2019,60370002,1,12.8,52,Azusa,1,100,34.1365,-117.92391
09/06/2019,60370002,1,11.3,47,Azusa,1,100,34.1365,-117.92391
09/12/2019,60370002,1,13,53,Azusa,1,100,34.1365,-117.92391
09/18/2019,60370002,1,9.6,40,Azusa,1,100,34.1365,-117.92391
09/24/2019,60370002,1,11.8,49,Azusa,1,100,34.1365,-117.92391
09/30/2019,60370002,1,7.2,30,Azusa,1,100,34.1365,-117.92391
10/06/2019,60370002,1,12.7,52,Azusa,1,100,34.1365,-117.92391
10/12/2019,60370002,1,11.5,48,Azusa,1,100,34.1365,-117.92391
10/18/2019,60370002,1,9.6,40,Azusa,1,100,34.1365,-117.92391
10/24/2019,60370002,1,7.5,31,Azusa,1,100,34.1365,-117.92391
10/30/2019,60370002,1,7.3,30,Azusa,1,100,34.1365,-117.92391
11/05/2019,60370002,1,17.4,62,Azusa,1,100,34.1365,-117.92391
11/11/2019,60370002,1,22.8,74,Azusa,1,100,34.1365,-117.92391
11/17/2019,60370002,1,3.8,16,Azusa,1,100,34.1365,-117.92391
11/23/2019,60370002,1,3.6,15,Azusa,1,100,34.1365,-117.92391
11/29/2019,60370002,1,2.1,9,Azusa,1,100,34.1365,-117.92391
12/05/2019,60370002,1,3.4,14,Azusa,1,100,34.1365,-117.92391
12/11/2019,60370002,1,7.1,30,Azusa,1,100,34.1365,-117.92391
12/17/2019,60370002,1,2.6,11,Azusa,1,100,34.1365,-117.92391
12/23/2019,60370002,1,2,8,Azusa,1,100,34.1365,-117.92391
12/29/2019,60370002,1,6,25,Azusa,1,100,34.1365,-117.92391
01/06/2019,60370002,21,3.9,16,Azusa,1,100,34.1365,-117.92391
01/12/2019,60370002,21,3.8,16,Azusa,1,100,34.1365,-117.92391
01/18/2019,60370002,21,8.1,34,Azusa,1,100,34.1365,-117.92391
01/24/2019,60370002,21,3,13,Azusa,1,100,34.1365,-117.92391
01/30/2019,60370002,21,21.2,70,Azusa,1,100,34.1365,-117.92391
02/05/2019,60370002,21,2.7,11,Azusa,1,100,34.1365,-117.92391
02/11/2019,60370002,21,2.3,10,Azusa,1,100,34.1365,-117.92391
02/17/2019,60370002,21,2.8,12,Azusa,1,100,34.1365,-117.92391
02/23/2019,60370002,21,3.5,15,Azusa,1,100,34.1365,-117.92391
03/01/2019,60370002,21,11.9,50,Azusa,1,100,34.1365,-117.92391
03/07/2019,60370002,21,5.4,23,Azusa,1,100,34.1365,-117.92391
03/13/2019,60370002,21,9,38,Azusa,1,100,34.1365,-117.92391
03/19/2019,60370002,21,11.4,48,Azusa,1,100,34.1365,-117.92391
03/25/2019,60370002,21,11.4,48,Azusa,1,100,34.1365,-117.92391
03/31/2019,60370002,21,5.7,24,Azusa,1,100,34.1365,-117.92391
04/06/2019,60370002,21,4.6,19,Azusa,1,100,34.1365,-117.92391
04/12/2019,60370002,21,9.2,38,Azusa,1,100,34.1365,-117.92391
04/18/2019,60370002,21,10.1,42,Azusa,1,100,34.1365,-117.92391
04/24/2019,60370002,21,17.4,62,Azusa,1,100,34.1365,-117.92391
04/30/2019,60370002,21,6.4,27,Azusa,1,100,34.1365,-117.92391
05/06/2019,60370002,21,5.8,24,Azusa,1,100,34.1365,-117.92391
05/12/2019,60370002,21,8.3,35,Azusa,1,100,34.1365,-117.92391
05/18/2019,60370002,21,8.2,34,Azusa,1,100,34.1365,-117.92391
05/24/2019,60370002,21,6.4,27,Azusa,1,100,34.1365,-117.92391
05/30/2019,60370002,21,15,57,Azusa,1,100,34.1365,-117.92391
06/05/2019,60370002,21,13.7,54,Azusa,1,100,34.1365,-117.92391
06/11/2019,60370002,21,15.4,58,Azusa,1,100,34.1365,-117.92391
06/17/2019,60370002,21,6.2,26,Azusa,1,100,34.1365,-117.92391
06/23/2019,60370002,21,10,42,Azusa,1,100,34.1365,-117.92391
06/29/2019,60370002,21,10.6,44,Azusa,1,100,34.1365,-117.92391
07/05/2019,60370002,21,70.3,159,Azusa,1,100,34.1365,-117.92391
07/11/2019,60370002,21,17,61,Azusa,1,100,34.1365,-117.92391
07/17/2019,60370002,21,11.5,48,Azusa,1,100,34.1365,-117.92391
07/23/2019,60370002,21,14.6,56,Azusa,1,100,34.1365,-117.92391
07/29/2019,60370002,21,14.4,56,Azusa,1,100,34.1365,-117.92391
08/04/2019,60370002,21,11.9,50,Azusa,1,100,34.1365,-117.92391
08/10/2019,60370002,21,10.7,45,Azusa,1,100,34.1365,-117.92391
08/16/2019,60370002,21,12.4,52,Azusa,1,100,34.1365,-117.92391
08/22/2019,60370002,21,14.4,56,Azusa,1,100,34.1365,-117.92391
08/28/2019,60370002,21,12.2,51,Azusa,1,100,34.1365,-117.92391
09/03/2019,60370002,21,12.8,52,Azusa,1,100,34.1365,-117.92391
09/09/2019,60370002,21,12.7,52,Azusa,1,100,34.1365,-117.92391
09/15/2019,60370002,21,14.3,56,Azusa,1,100,34.1365,-117.92391
09/21/2019,60370002,21,10.3,43,Azusa,1,100,34.1365,-117.92391
09/27/2019,60370002,21,8,33,Azusa,1,100,34.1365,-117.92391
10/03/2019,60370002,21,11.1,46,Azusa,1,100,34.1365,-117.92391
10/09/2019,60370002,21,11.6,48,Azusa,1,100,34.1365,-117.92391
10/15/2019,60370002,21,12.9,53,Azusa,1,100,34.1365,-117.92391
10/21/2019,60370002,21,5.3,22,Azusa,1,100,34.1365,-117.92391
10/27/2019,60370002,21,9.7,40,Azusa,1,100,34.1365,-117.92391
11/02/2019,60370002,21,5.7,24,Azusa,1,100,34.1365,-117.92391
11/08/2019,60370002,21,8.4,35,Azusa,1,100,34.1365,-117.92391
11/14/2019,60370002,21,28.3,85,Azusa,1,100,34.1365,-117.92391
11/20/2019,60370002,21,4.2,18,Azusa,1,100,34.1365,-117.92391
11/26/2019,60370002,21,7.5,31,Azusa,1,100,34.1365,-117.92391
12/02/2019,60370002,21,7.6,32,Azusa,1,100,34.1365,-117.92391
12/08/2019,60370002,21,5.3,22,Azusa,1,100,34.1365,-117.92391
12/14/2019,60370002,21,18.6,65,Azusa,1,100,34.1365,-117.92391
12/20/2019,60370002,21,2.5,10,Azusa,1,100,34.1365,-117.92391
12/26/2019,60370002,21,1.6,7,Azusa,1,100,34.1365,-117.92391
01/01/2019,60370016,3,6.2,26,Glendora,1,100,34.14435,-117.85036
01/02/2019,60370016,3,6.6,28,Glendora,1,100,34.14435,-117.85036
01/03/2019,60370016,3,4.8,20,Glendora,1,100,34.14435,-117.85036
01/04/2019,60370016,3,7.4,31,Glendora,1,100,34.14435,-117.85036
01/05/2019,60370016,3,9.5,40,Glendora,1,100,34.14435,-117.85036
01/06/2019,60370016,3,6.7,28,Glendora,1,100,34.14435,-117.85036
01/07/2019,60370016,3,6.1,25,Glendora,1,100,34.14435,-117.85036
01/08/2019,60370016,3,4.8,20,Glendora,1,100,34.14435,-117.85036
01/09/2019,60370016,3,9.1,38,Glendora,1,100,34.14435,-117.85036
01/10/2019,60370016,3,16,59,Glendora,1,100,34.14435,-117.85036
01/11/2019,60370016,3,21.1,70,Glendora,1,100,34.14435,-117.85036
01/12/2019,60370016,3,8.1,34,Glendora,1,100,34.14435,-117.85036
